"tree.name","sex.chromosome.system","hapauto","codedSCS"
"tachyglossus_aculeatus","XXXXXYYYY",27,7
"isoodon_obesulus","XY",6,0
"perameles_nasuta","XY",6,0
"macrotis_lagotis","XYY",8,1
"dasyuroides_byrnei","XY",6,0
"dasyurus_viverrinus","XY",6,0
"dasyurus_maculatus","XY",6,0
"dasyurus_hallucatus","XY",6,0
"sarcophilus_harrisii","XY",6,0
"antechinus_flavipes","XY",6,0
"antechinomys_laniger","XY",6,0
"sminthopsis_crassicaudata","XY",6,0
"planigale_maculata","XY",6,0
"notoryctes_typhlops","XY",9,0
"petrogale_penicillata","XY",10,0
"petrogale_xanthopus_celeris","XY",10,0
"petrogale_concinna","XY",7,0
"petrogale_brachyotis","XY",9,0
"thylogale_thetis","XY",10,0
"thylogale_billardierii","XY",10,0
"macropus_rufogriseus","XY",7,0
"macropus_parma","XY",7,0
"macropus_parryi","XY",7,0
"macropus_robustus","XY",7,0
"macropus_rufus","XY",9,0
"macropus_giganteus","XY",7,0
"macropus_fuliginosus","XY",7,0
"macropus_eugenii","XY",7,0
"wallabia_bicolor","XYY",4,1
"potorous_tridactylus","XY",5,0
"petropseudes_dahli","XY",7,0
"hemibelideus_lemuroides","XY",9,0
"petaurus_norfolcensis","XY",11,0
"tarsipes_rostratus","XY",11,0
"acrobates_pygmaeus","XY",6,0
"trichosurus_vulpecula","XY",9,0
"cercartetus_concinnus","XY",6,0
"lasiorhinus_latifrons","XY",6,0
"vombatus_ursinus","XY",6,0
"phascolarctos_cinereus","XY",7,0
"monodelphis_brevicaudata","XY",8,0
"monodelphis_domestica","XY",8,0
"marmosa_murina","XY",6,0
"marmosa_robinsoni","XY",6,0
"thylamys_elegans","XY",6,0
"marmosops_incanus","XY",6,0
"metachirus_nudicaudatus","XY",6,0
"didelphis_marsupialis","XY",10,0
"didelphis_virginiana","XY",10,0
"philander_opossum","XY",10,0
"lutreolina_crassicaudata","XY",10,0
"caluromys_derbianus","XY",6,0
"caluromys_lanatus","XY",6,0
"rhyncholestes_raphanurus","XY",6,0
"cabassous_centralis","XY",30,0
"cabassous_tatouay","XY",24,0
"tolypeutes_matacus","XY",18,0
"zaedyus_pichiy","XY",30,0
"chaetophractus_villosus","XY",29,0
"euphractus_sexcinctus","XY",28,0
"dasypus_hybridus","XY",31,0
"dasypus_septemcinctus","XY",31,0
"dasypus_novemcinctus","XY",31,0
"bradypus_variegatus","XY",26,0
"bradypus_torquatus","XY",24,0
"choloepus_hoffmanni","XXY",23,1
