,Order,Family,Genus,species,tree.name,female2n,male2n,B.chromosomes,sex.chromosome.system,notes..comments,hapauto,codedSCS,Source,Study
1235,Rodentia,Octodontidae,Tympanoctomys,barrerae,Tympanoctomys_barrerae,102,102,,XY,,50,unfused,Animal Karyotype Book 2020,Gallardo et al. 2002
1425,Rodentia,Octodontidae,Tympanoctomys,barrerae,Tympanoctomys_barrerae,102,102,,XY,,50,unfused,Animal Karyotype Book,Gallardo et al. 2004
1246,Rodentia,Echimyidae,Dactylomys,dactylinus,Dactylomys_dactylinus,96,96,,XY,,47,unfused,Animal Karyotype Book,Aniskin 1993
1247,Rodentia,Echimyidae,Dactylomys,dactylinus,Dactylomys_dactylinus,94,94,,XY,,46,unfused,Animal Karyotype Book 2020,Aniskin 1993
1022,Rodentia,Cricetidae,Anotomys,leander,Anotomys_leander,92,92,,XY,,45,unfused,Blackmon,
809,Perissodactyla,Rhinocerotidae,Diceros,bicornis,Diceros_bicornis,84,84,,XY,,41,unfused,Animal Karyotype Book,Houck et al. 1995
807,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,Ceratotherium_simum,82,82,,XY,,40,unfused,Blackmon,
808,Perissodactyla,Rhinocerotidae,Ceratotherium,simum simum,Ceratotherium_simum simum,82,82,,XY,,40,unfused,Animal Karyotype Book,Houck et al. 1994
811,Perissodactyla,Rhinocerotidae,Dicerorhinus,sumatrensis,Dicerorhinus_sumatrensis,82,82,,XY,,40,unfused,Animal Karyotype Book 2020,Houck (Unpublished)
810,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,Rhinoceros_unicornis,82,82,,XY,,40,unfused,Blackmon,Houck et al. 1994
812,Perissodactyla,Tapiridae,Tapirus,bairdii,Tapirus_bairdii,80,80,,XY,,39,unfused,Animal Karyotype Book,Houck et al. 2000
815,Perissodactyla,Tapiridae,Tapirus,terrestris,Tapirus_terrestris,80,80,,XY,,39,unfused,Blackmon,Houck et al. 2000
973,Primates,Tarsiidae,Tarsius,bancanus,Tarsius_bancanus,80,80,,XY,,39,unfused,Animal Karyotype Book,Poorman et al. 1985
974,Primates,Tarsiidae,Tarsius,syrichta,Tarsius_syrichta,80,80,,XY,,39,unfused,Animal Karyotype Book,Rickart 2003
985,Rodentia,Bathyergidae,Fukomys,hottentotus damarensis,Fukomys_hottentotus damarensis,80,80,,XY,,39,unfused,Animal Karyotype Book 2020,Deuve et al. 2008
1180,Rodentia,Cricetidae,Oryzomys,nitidus,Oryzomys_nitidus,80,80,,XY,,39,unfused,Animal Karyotype Book,Volobouev and Aniskin 2000
1416,Rodentia,Nesomyidae,Cricetomys,emini,Cricetomys_emini,80,80,,XY,,39,unfused,Animal Karyotype Book 2020,S. Romanenko (Unpublished)
1417,Rodentia,Nesomyidae,Cricetomys,gambianus,Cricetomys_gambianus,80,80,,XY,,39,unfused,Animal Karyotype Book 2020,V. Aniskin and V. Volobouev (Unpublished)
247,Carnivora,Canidae,Canis,familiaris,Canis_familiaris,78,78,,XY,,38,unfused,Blackmon,Graphodatsky et al. 2000a
248,Carnivora,Canidae,Canis,latrans,Canis_latrans,78,78,,XY,,38,unfused,Blackmon,Wurster-Hill and Centerwall 1982
249,Carnivora,Canidae,Canis,lupus,Canis_lupus,78,78,,XY,,38,unfused,Animal Karyotype Book,Wurster-Hill and Centerwall 1982
250,Carnivora,Canidae,Cuon,alpinus,Cuon_alpinus,78,78,,XY,,38,unfused,Animal Karyotype Book 2020,Graphodatsky et al. 2008
980,Rodentia,Bathyergidae,Fukomys,hottentotus damarensis,Fukomys_hottentotus damarensis,78,78,,XY,,38,unfused,Animal Karyotype Book,Nevo et al. 1986
1230,Rodentia,Octodontidae,Octodon,lunatus,Octodon_lunatus,78,78,,XY,,38,unfused,Animal Karyotype Book 2020,Spotorno et al. 1995
1423,Rodentia,Octodontidae,Octodon,lunatus,Octodon_lunatus,78,78,,XY,,38,unfused,Animal Karyotype Book,Spotorno et al. 1995
252,Carnivora,Canidae,Chrysocyon,brachyurus,Chrysocyon_brachyurus,76,76,,XY,,37,unfused,Animal Karyotype Book,Wayne et al. 1987a
814,Perissodactyla,Tapiridae,Tapirus,pinchaque,Tapirus_pinchaque,76,76,,XY,,37,unfused,Animal Karyotype Book,Houck et al. 2000
1413,Rodentia,Nesomyidae,Eliurus,minor,Eliurus_minor,76,76,,XY,,37,unfused,Animal Karyotype Book 2020,Solano et al. 2011
151,Artiodactyla,Camelidae,Camelus,bactrianus,Camelus_bactrianus,74,74,,XY,,36,unfused,Blackmon,Balmus et al. 2007
152,Artiodactyla,Camelidae,Camelus,dromedarius,Camelus_dromedarius,74,74,,XY,,36,unfused,Animal Karyotype Book,Balmus et al. 2007
153,Artiodactyla,Camelidae,Camelus,ferus,Camelus_ferus,74,74,,XY,,36,unfused,Animal Karyotype Book 2020,Proskuryakova et al. (Unpublished)
156,Artiodactyla,Camelidae,Lama,glama,Lama_glama,74,74,,XY,,36,unfused,Animal Karyotype Book 2020,Balmus et al. 2007
155,Artiodactyla,Camelidae,Lama,guanicoe,Lama_guanicoe,74,74,,XY,,36,unfused,Animal Karyotype Book 2020,Balmus et al. 2007
154,Artiodactyla,Camelidae,Lama,pacos,Lama_pacos,74,74,,XY,,36,unfused,Animal Karyotype Book 2020,Balmus et al. 2007
157,Artiodactyla,Camelidae,Vicugna,vicugna,Vicugna_vicugna,74,74,,XY,,36,unfused,Blackmon,
246,Carnivora,Canidae,Atelocynus,microtis,Atelocynus_microtis,74,74,,XY,,36,unfused,Blackmon,Wurster-Hill and Centerwall 1982
251,Carnivora,Canidae,Cerdocyon,thous,Cerdocyon_thous,74,74,,XY,,36,unfused,Animal Karyotype Book,Nash et al. 2001
259,Carnivora,Canidae,Speothos,venaticus,Speothos_venaticus,74,74,,XY,,36,unfused,Animal Karyotype Book,Wayne et al. 1987a
389,Carnivora,Ursidae,Helarctos,malayanus,Helarctos_malayanus,74,74,,XY,,36,unfused,Blackmon,
390,Carnivora,Ursidae,Selenarctos,thibetanus,Selenarctos_thibetanus,74,74,,XY,,36,unfused,Blackmon,
392,Carnivora,Ursidae,Ursus,americanus,Ursus_americanus,74,74,,XY,,36,unfused,Blackmon,Nash and O'Brien 1987
393,Carnivora,Ursidae,Ursus,arctos,Ursus_arctos,74,74,,XY,,36,unfused,Animal Karyotype Book,Nash and O'Brien 1987
394,Carnivora,Ursidae,Ursus,malayanus,Ursus_malayanus,74,74,,XY,,36,unfused,Animal Karyotype Book,Nash and O'Brien 1987
395,Carnivora,Ursidae,Ursus,maritimus,Ursus_maritimus,74,74,,XY,,36,unfused,Animal Karyotype Book,Nash and O'Brien 1987
396,Carnivora,Ursidae,Ursus,thibetanus,Ursus_thibetanus,74,74,,XY,,36,unfused,Animal Karyotype Book,Nash and O'Brien 1987
397,Carnivora,Ursidae,Ursus,ursinus,Ursus_ursinus,74,74,,XY,,36,unfused,Animal Karyotype Book,Nash and O'Brien 1987
1292,Rodentia,Heteromyidae,Dipodomys,agilis,Dipodomys_agilis,74,74,,XY,,36,unfused,Blackmon,
1286,Rodentia,Heteromyidae,Dipodomys,ordii largus,Dipodomys_ordii largus,74,74,,XY,,36,unfused,Blackmon,
258,Carnivora,Canidae,Otocyon,megalotis,Otocyon_megalotis,72,72,,XY,,35,unfused,Blackmon,Wayne et al. 1987a
910,Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus_mitis,72,72,,XY,,35,unfused,Animal Karyotype Book 2020,Bigoni and Stanyon (Unpublished)
891,Primates,Cercopithecidae,Cercopithecus,pogonias,Cercopithecus_pogonias,72,72,,XY,,35,unfused,Animal Karyotype Book,Ponsa and Eqozcue 1981
1277,Rodentia,Heteromyidae,Dipodomys,elator,Dipodomys_elator,72,72,,XY,,35,unfused,Blackmon,
1284,Rodentia,Heteromyidae,Dipodomys,nelsoni,Dipodomys_nelsoni,72,72,,XY,,35,unfused,Blackmon,
1287,Rodentia,Heteromyidae,Dipodomys,ornatus,Dipodomys_ornatus,72,72,,XY,,35,unfused,Blackmon,
1289,Rodentia,Heteromyidae,Dipodomys,spectabilis,Dipodomys_spectabilis,72,72,,XY,,35,unfused,Blackmon,
163,Artiodactyla,Cervidae,Capreolus,capreolus,Capreolus_capreolus,70,70,,XY,,34,unfused,Blackmon,
164,Artiodactyla,Cervidae,Capreolus,pygargus,Capreolus_pygargus,70,70,yes (6),XY,,34,unfused,Animal Karyotype Book,Dementyeva et al. 2010
181,Artiodactyla,Cervidae,Hippocamelus,bisculus,Hippocamelus_bisculus,70,70,,XY,,34,unfused,Animal Karyotype Book 2020,Spotorno et al. 1987
182,Artiodactyla,Cervidae,Hydropotes,inermis,Hydropotes_inermis,70,70,,XY,,34,unfused,Blackmon,
