Order,Family,Genus,species,tree.name,female2n,male2n,B.chromosomes,sex.chromosome.system,notes..comments,hapauto,codedSCS,Source,Study,sim.state
Rodentia,Cricetidae,Akodon,sp.,Akodon_sp.,10,10,,XY,,4,unfused,Animal Karyotype Book 2020,Pereira et al. 2016,3
Diprodontia,Potoroidae,Potorous,tridactylus,Potorous_tridactylus,12,12,,XY,,5,unfused,Animal Karyotype Book,Graphodatsky et al. (Unpublished),4
Diprodontia,Acrobatidae,Acrobates,pygmaeus,Acrobates_pygmaeus,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Rodentia,Cricetidae,Akodon,cursor,Akodon_cursor,15,15,,XY,,6,unfused,Atlas of Mammalian Chromosomes,Hass et al. 2008,5
Dasyuromorphia,Dasyuridae,Antechinomys,laniger,Antechinomys_laniger,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Antechinus_flavipes,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Didelphimorphia,Didelphidae,Caluromys,derbianus,Caluromys_derbianus,14,14,,XY,,6,unfused,Blackmon,,5
Didelphimorphia,Didelphidae,Caluromys,lanatus,Caluromys_lanatus,14,14,,XY,,6,unfused,Animal Karyotype Book,Casartelli et al. 1986,5
Diprodontia,Burramyidae,Cercartetus,concinnus,Cercartetus_concinnus,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Dasyuromorphia,Dasyuridae,Dasyuroides,byrnei,Dasyuroides_byrnei,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Dasyuromorphia,Dasyuridae,Dasyurops,maculatus,Dasyurops_maculatus,14,14,,XY,,6,unfused,Blackmon,,5
Dasyuromorphia,Dasyuridae,Dasyurus,hallucatus,Dasyurus_hallucatus,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,Dasyurus_maculatus,14,14,,XY,,6,unfused,Animal Karyotype Book,CRES San Diego (Unpublished),5
Dasyuromorphia,Dasyuridae,Dasyurus,viverrinus,Dasyurus_viverrinus,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Microbiotheria,Microbiotheriidae,Dromiciops,australis,Dromiciops_australis,14,13,,XO,,6,unfused,Animal Karyotype Book,Gallardo and Patterson (1987),5
Peramelemorphia,Peramelidae,Isoodon,obesulus,Isoodon_obesulus,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Diprodontia,Vombatidae,Lasiorhinus,latifrons,Lasiorhinus_latifrons,14,14,,XY,,6,unfused,Animal Karyotype Book,Rofe 1979,5
Didelphimorphia,Didelphidae,Marmosa,alstoni,Marmosa_alstoni,14,14,,XY,,6,unfused,Blackmon,,5
Didelphimorphia,Didelphidae,Marmosa,murina,Marmosa_murina,14,14,,XY,,6,unfused,Blackmon,,5
Didelphimorphia,Didelphidae,Marmosa,pusilla,Marmosa_pusilla,14,14,,XY,,6,unfused,Blackmon,,5
Didelphimorphia,Didelphidae,Marmosa,robinsoni,Marmosa_robinsoni,14,14,,XY,,6,unfused,Blackmon,,5
Didelphimorphia,Didelphidae,Marmosa,sp.,Marmosa_sp.,14,14,,XY,,6,unfused,Animal Karyotype Book,Aniskin 1994a,5
Didelphimorphia,Didelphidae,Marmosops,incanus,Marmosops_incanus,14,14,,XY,,6,unfused,Animal Karyotype Book,Svartman 1998,5
