,N,1_10,1_11,1_12,1_13,1_2,1_3,1_4,1_5,1_6,1_7,1_9,10_1,10_11,10_12,10_13,10_2,10_3,10_4,10_5,10_6,10_7,10_9,11_1,11_10,11_12,11_13,11_2,11_3,11_4,11_5,11_6,11_7,11_9,12_1,12_10,12_11,12_13,12_2,12_3,12_4,12_5,12_6,12_7,12_9,13_1,13_10,13_11,13_12,13_2,13_3,13_4,13_5,13_6,13_7,13_9,2_1,2_10,2_11,2_12,2_13,2_3,2_4,2_5,2_6,2_7,2_9,3_1,3_10,3_11,3_12,3_13,3_2,3_4,3_5,3_6,3_7,3_9,4_1,4_10,4_11,4_12,4_13,4_2,4_3,4_5,4_6,4_7,4_9,5_1,5_10,5_11,5_12,5_13,5_2,5_3,5_4,5_6,5_7,5_9,6_1,6_10,6_11,6_12,6_13,6_2,6_3,6_4,6_5,6_7,6_9,7_1,7_10,7_11,7_12,7_13,7_2,7_3,7_4,7_5,7_6,7_9,9_1,9_10,9_11,9_12,9_13,9_2,9_3,9_4,9_5,9_6,9_7
1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,4,7,0,0,0,0,0,5,0,0,0,0,15,7,0,0,0,0,0,2,0,0,0,0,5,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,5,0,0,0,0,2,9,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,8,0,0,0,0,0,7,0,0,0,0,8,4,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,3,8,0,0,0,0,0,5,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,9,7,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,2,12,0,0,0,0,0,5,0,0,0,0,14,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,9,6,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
8,64,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,0,6,10,0,0,0,0,0,1,0,0,0,0,6,7,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,8,6,0,0,0,0,0,3,0,0,0,0,9,9,0,0,0,0,0,1,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,7,0,0,0,0,6,6,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
