,N,1_2,1_3,1_4,1_5,1_6,2_1,2_3,2_4,2_5,2_6,3_1,3_2,3_4,3_5,3_6,4_1,4_2,4_3,4_5,4_6,5_1,5_2,5_3,5_4,5_6,6_1,6_2,6_3,6_4,6_5
1,43,2,0,0,0,0,2,9,1,0,0,0,4,0,4,0,1,0,0,3,0,0,5,0,3,3,0,0,5,0,1
2,37,4,0,0,0,0,3,9,2,0,0,0,4,0,3,0,1,0,0,2,0,0,4,0,1,2,0,0,2,0,0
3,36,2,0,0,0,0,1,9,2,0,0,0,9,0,2,0,1,0,0,2,0,0,2,0,0,2,0,0,4,0,0
4,40,3,0,0,0,0,2,11,1,0,0,0,5,0,7,0,2,0,0,0,0,0,6,0,1,1,0,0,0,0,1
5,29,6,0,0,0,0,3,10,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
6,22,0,0,0,0,0,1,9,0,0,0,0,8,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
7,36,2,0,0,0,0,3,10,0,0,0,0,8,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
8,31,0,0,0,0,0,1,11,0,0,0,0,10,0,4,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
9,52,1,0,0,0,0,2,15,0,0,0,0,12,0,5,0,0,0,0,0,0,0,3,0,0,5,0,0,9,0,0
10,27,6,0,0,0,0,2,8,1,0,0,0,4,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
11,22,2,0,0,0,0,1,3,1,0,0,0,5,0,2,0,2,0,0,1,0,0,1,0,0,2,0,0,2,0,0
12,54,8,0,0,0,0,4,20,1,0,0,0,7,0,4,0,1,0,0,1,0,0,3,0,1,1,0,0,3,0,0
13,50,1,0,0,0,0,0,9,1,0,0,0,8,0,8,0,2,0,0,2,0,0,3,0,2,6,0,0,8,0,0
14,34,1,0,0,0,0,1,6,1,0,0,0,3,0,6,0,1,0,0,0,0,0,4,0,0,5,0,0,6,0,0
15,31,2,0,0,0,0,1,6,1,0,0,0,7,0,3,0,2,0,0,0,0,0,2,0,1,2,0,0,4,0,0
16,34,1,0,0,0,0,2,12,0,0,0,0,9,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
17,39,2,0,0,0,0,0,15,1,0,0,0,9,0,4,0,1,0,0,0,0,0,3,0,0,2,0,0,2,0,0
18,39,1,0,0,0,0,1,4,2,0,0,0,7,0,5,0,1,0,0,1,0,0,2,0,0,6,0,0,9,0,0
19,30,3,0,0,0,0,3,8,1,0,0,0,6,0,2,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0
20,34,0,0,0,0,0,0,11,1,0,0,0,11,0,3,0,1,0,0,0,0,0,3,0,0,2,0,0,1,0,1
21,49,4,0,0,0,0,2,15,1,0,0,0,8,0,5,0,1,0,0,1,0,0,5,0,1,2,0,0,4,0,0
22,45,3,0,0,0,0,3,14,1,0,0,0,5,0,6,0,1,0,0,0,0,0,5,0,0,3,0,0,4,0,0
23,24,0,0,0,0,0,1,3,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,1
24,29,1,0,0,0,0,2,8,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0
25,33,2,0,0,0,0,2,9,1,0,0,0,4,0,5,0,1,0,0,0,0,0,5,0,0,2,0,0,2,0,0
26,42,1,0,0,0,0,0,4,3,0,0,0,7,0,5,0,2,0,0,2,0,0,2,0,1,5,0,0,9,0,1
27,32,0,0,0,0,0,1,6,0,0,0,0,7,0,4,0,0,0,0,0,0,0,3,0,0,5,0,0,5,0,1
28,37,3,0,0,0,0,1,12,2,0,0,0,5,0,3,0,3,0,0,0,0,0,5,0,1,1,0,0,1,0,0
29,41,0,0,0,0,0,1,10,0,0,0,0,9,0,7,0,0,0,0,0,0,0,5,0,0,3,0,0,5,0,1
30,49,4,0,0,0,0,2,11,1,0,0,0,8,0,6,0,1,0,0,3,0,0,4,0,1,4,0,0,4,0,0
31,31,3,0,0,0,0,2,8,2,0,0,0,5,0,4,0,2,0,0,0,0,0,3,0,0,1,0,0,1,0,0
32,37,4,0,0,0,0,3,7,1,0,0,0,7,0,3,0,1,0,0,0,0,0,2,0,0,4,0,0,5,0,0
33,44,5,0,0,0,0,4,15,0,0,0,0,10,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
34,25,5,0,0,0,0,3,6,1,0,0,0,4,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
35,35,1,0,0,0,0,0,9,3,0,0,0,5,0,5,0,2,0,0,1,0,0,4,0,0,2,0,0,3,0,0
36,53,8,0,0,0,0,6,11,2,0,0,0,4,0,6,0,3,0,0,1,0,0,5,0,0,3,0,0,3,0,1
37,31,5,0,0,0,0,2,5,3,0,0,0,4,0,1,0,2,0,0,2,0,0,1,0,0,3,0,0,3,0,0
38,24,1,0,0,0,0,2,7,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
39,36,2,0,0,0,0,3,15,1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0
40,24,1,0,0,0,0,1,11,0,0,0,0,3,0,2,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0
41,33,3,0,0,0,0,3,14,1,0,0,0,5,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
42,35,1,0,0,0,0,2,8,0,0,0,0,4,0,7,0,0,0,0,0,0,0,4,0,0,4,0,0,5,0,0
