20,21,22,23,24,25,20h,21h,22h,23h,24h,25h
0,4.25011197801719,0,0,0,0,0,0,0,0,0,0
2.71398379533603,0,4.25011197801719,0,0,0,3.1599118912954,0,0,0,0,0
0,2.71398379533603,0,4.25011197801719,0,0,0,3.1599118912954,0,0,0,0
0,0,2.71398379533603,0,4.25011197801719,0,0,0,3.1599118912954,0,0,0
0,0,0,2.71398379533603,0,4.25011197801719,0,0,0,3.1599118912954,0,0
0,0,0,0,2.71398379533603,0,0,0,0,0,3.1599118912954,0
2.12880163181675,0,0,0,0,0,0,4.25011197801719,0,0,0,0
0,2.12880163181675,0,0,0,0,2.71398379533603,0,4.25011197801719,0,0,0
0,0,2.12880163181675,0,0,0,0,2.71398379533603,0,4.25011197801719,0,0
0,0,0,2.12880163181675,0,0,0,0,2.71398379533603,0,4.25011197801719,0
0,0,0,0,2.12880163181675,0,0,0,0,2.71398379533603,0,4.25011197801719
0,0,0,0,0,2.12880163181675,0,0,0,0,2.71398379533603,0
