28,29,30,31,32,33,34,35,28h,29h,30h,31h,32h,33h,34h,35h
0,3.03704338086286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.64413862609828,0,3.03704338086286,0,0,0,0,0,1.93109989442653,0,0,0,0,0,0,0
0,2.64413862609828,0,3.03704338086286,0,0,0,0,0,1.93109989442653,0,0,0,0,0,0
0,0,2.64413862609828,0,3.03704338086286,0,0,0,0,0,1.93109989442653,0,0,0,0,0
0,0,0,2.64413862609828,0,3.03704338086286,0,0,0,0,0,1.93109989442653,0,0,0,0
0,0,0,0,2.64413862609828,0,3.03704338086286,0,0,0,0,0,1.93109989442653,0,0,0
0,0,0,0,0,2.64413862609828,0,3.03704338086286,0,0,0,0,0,1.93109989442653,0,0
0,0,0,0,0,0,2.64413862609828,0,0,0,0,0,0,0,1.93109989442653,0
4.66355838138164,0,0,0,0,0,0,0,0,3.03704338086286,0,0,0,0,0,0
0,4.66355838138164,0,0,0,0,0,0,2.64413862609828,0,3.03704338086286,0,0,0,0,0
0,0,4.66355838138164,0,0,0,0,0,0,2.64413862609828,0,3.03704338086286,0,0,0,0
0,0,0,4.66355838138164,0,0,0,0,0,0,2.64413862609828,0,3.03704338086286,0,0,0
0,0,0,0,4.66355838138164,0,0,0,0,0,0,2.64413862609828,0,3.03704338086286,0,0
0,0,0,0,0,4.66355838138164,0,0,0,0,0,0,2.64413862609828,0,3.03704338086286,0
0,0,0,0,0,0,4.66355838138164,0,0,0,0,0,0,2.64413862609828,0,3.03704338086286
0,0,0,0,0,0,0,4.66355838138164,0,0,0,0,0,0,2.64413862609828,0
