28,29,30,31,32,33,28h,29h,30h,31h,32h,33h
0,3.86602107410354,0,0,0,0,0,0,0,0,0,0
2.31558207830016,0,3.86602107410354,0,0,0,1.55589458513565,0,0,0,0,0
0,2.31558207830016,0,3.86602107410354,0,0,0,1.55589458513565,0,0,0,0
0,0,2.31558207830016,0,3.86602107410354,0,0,0,1.55589458513565,0,0,0
0,0,0,2.31558207830016,0,3.86602107410354,0,0,0,1.55589458513565,0,0
0,0,0,0,2.31558207830016,0,0,0,0,0,1.55589458513565,0
4.70630105289471,0,0,0,0,0,0,3.86602107410354,0,0,0,0
0,4.70630105289471,0,0,0,0,2.31558207830016,0,3.86602107410354,0,0,0
0,0,4.70630105289471,0,0,0,0,2.31558207830016,0,3.86602107410354,0,0
0,0,0,4.70630105289471,0,0,0,0,2.31558207830016,0,3.86602107410354,0
0,0,0,0,4.70630105289471,0,0,0,0,2.31558207830016,0,3.86602107410354
0,0,0,0,0,4.70630105289471,0,0,0,0,2.31558207830016,0
