18,19,20,21,22,23,24,25,26,27,28,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h
0,6.88643358333385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0,0,0,0,0,0,0,0
0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0,0,0,0,0,0,0
0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0,0,0,0,0,0
0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0,0,0,0,0
0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0,0,0,0
0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0,0,0
0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0,0
0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0,0
0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0,1.86294444855307,0,0
0,0,0,0,0,0,0,0,0,6.15418897690216,0,0,0,0,0,0,0,0,0,0,1.86294444855307,0
4.9343827993914,0,0,0,0,0,0,0,0,0,0,0,6.88643358333385,0,0,0,0,0,0,0,0,0
0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0,0
0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0,0
0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0,0
0,0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0,0
0,0,0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0,0
0,0,0,0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0,0
0,0,0,0,0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0,0
0,0,0,0,0,0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385,0
0,0,0,0,0,0,0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0,6.88643358333385
0,0,0,0,0,0,0,0,0,0,4.9343827993914,0,0,0,0,0,0,0,0,0,6.15418897690216,0
