16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h
0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55279908538474,0
5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0,2.99917275972465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04773647973259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16767846513903,0
