16,17,18,19,20,21,22,23,24,25,26,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h
0,2.512508937062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0,0,0,0,0,0,0,0
0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0,0,0,0,0,0,0
0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0,0,0,0,0,0
0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0,0,0,0,0
0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0,0,0,0
0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0,0,0
0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0,0
0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0,0
0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0,1.43162007633114,0,0
0,0,0,0,0,0,0,0,0,2.05331077136445,0,0,0,0,0,0,0,0,0,0,1.43162007633114,0
5.81587131707389,0,0,0,0,0,0,0,0,0,0,0,2.512508937062,0,0,0,0,0,0,0,0,0
0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0,0
0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0,0
0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0,0
0,0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0,0
0,0,0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0,0
0,0,0,0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0,0
0,0,0,0,0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0,0
0,0,0,0,0,0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062,0
0,0,0,0,0,0,0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0,2.512508937062
0,0,0,0,0,0,0,0,0,0,5.81587131707389,0,0,0,0,0,0,0,0,0,2.05331077136445,0
